Department,Salary,Year
Fire and Rescue Services,"92,271.95",2008
Engineering Services,"76,614.08",2008
Fire and Rescue Services,"81,433.76",2008
Fire and Rescue Services,"78,717.04",2008
City Clerk's Office,"93,347.73",2008
Fire and Rescue Services,"77,047.35",2008
Board of Parks & Recreation,"91,659.84",2008
Community Services,"76,098.75",2008
Fire and Rescue Services,"76,415.69",2008
Fire and Rescue Services,"83,349.69",2008
Community Services,"76,205.94",2008
Community Services,"96,538.96",2008
Community Services,"75,050.49",2008
Fire and Rescue Services,"87,202.14",2008
Fire and Rescue Services,"78,810.70",2008
Community Services,"75,321.21",2008
Fire and Rescue Services,"138,938.98",2008
Fire and Rescue Services,"84,352.97",2008
Fire and Rescue Services,"134,815.33",2008
Fire and Rescue Services,"89,927.23",2008
City Clerk's Office,"90,342.07",2008
Fire and Rescue Services,"89,922.85",2008
Fire and Rescue Services,"89,661.62",2008
Community Services,"78,543.15",2008
Community Services,"76,364.76",2008
Human Resource Services,"83,851.99",2008
Fire and Rescue Services,"84,176.75",2008
Fire and Rescue Services,"88,824.38",2008
Fire and Rescue Services,"142,514.24",2008
Fire and Rescue Services,"75,455.42",2008
Board of Parks & Recreation,"141,961.63",2008
Fire and Rescue Services,"87,351.83",2008
Engineering Services,"83,852.03",2008
Fire and Rescue Services,"75,711.09",2008
Fire and Rescue Services,"84,541.73",2008
Fire and Rescue Services,"75,885.84",2008
Community Services,"180,670.45",2008
Engineering Services,"93,243.96",2008
Fire and Rescue Services,"86,289.73",2008
Board of Parks & Recreation,"75,341.63",2008
Community Services,"89,183.62",2008
Business Planning & Services,"97,837.78",2008
Community Services,"77,378.07",2008
Engineering Services,"75,616.39",2008
Community Services,"85,761.68",2008
Vancouver Public Library Board,"86,247.39",2008
Fire and Rescue Services,"75,988.95",2008
Fire and Rescue Services,"88,145.54",2008
Engineering Services,"93,243.99",2008
Fire and Rescue Services,"76,484.34",2008
Engineering Services,"91,530.76",2008
Engineering Services,"95,505.82",2008
Engineering Services,"75,393.68",2008
Financial Services,"105,592.05",2008
Fire and Rescue Services,"77,573.45",2008
Community Services,"95,159.16",2008
Fire and Rescue Services,"75,704.18",2008
Community Services,"116,381.02",2008
Vancouver Public Library Board,"93,453.77",2008
City Clerk's Office,"83,851.99",2008
Fire and Rescue Services,"82,958.06",2008
Fire and Rescue Services,"93,505.20",2008
Community Services,"75,914.49",2008
Community Services,"93,986.63",2008
Fire and Rescue Services,"83,523.30",2008
Fire and Rescue Services,"81,996.82",2008
Community Services,"82,610.91",2008
Fire and Rescue Services,"90,680.30",2008
City Clerk's Office,"105,997.04",2008
Fire and Rescue Services,"76,093.81",2008
Community Services,"77,080.51",2008
Fire and Rescue Services,"90,776.18",2008
Engineering Services,"83,078.66",2008
Board of Parks & Recreation,"100,885.43",2008
Engineering Services,"96,217.56",2008
Engineering Services,"84,107.31",2008
Fire and Rescue Services,"81,861.22",2008
Fire and Rescue Services,"77,425.80",2008
Community Services,"101,915.67",2008
Human Resource Services,"75,533.38",2008
Human Resource Services,"88,480.39",2008
Fire and Rescue Services,"77,257.38",2008
Fire and Rescue Services,"77,993.87",2008
Fire and Rescue Services,"93,488.32",2008
Community Services,"101,380.05",2008
Fire and Rescue Services,"77,451.54",2008
Fire and Rescue Services,"76,633.52",2008
Engineering Services,"75,997.72",2008
Community Services,"75,914.49",2008
City Clerk's Office,"77,113.30",2008
Engineering Services,"75,514.57",2008
Fire and Rescue Services,"76,444.68",2008
Fire and Rescue Services,"103,278.08",2008
Community Services,"85,001.35",2008
Fire and Rescue Services,"93,758.91",2008
Community Services,"79,645.68",2008
Board of Parks & Recreation,"77,909.06",2008
Fire and Rescue Services,"76,684.26",2008
Community Services,"76,020.72",2008
Fire and Rescue Services,"77,061.68",2008
Fire and Rescue Services,"105,616.12",2008
Fire and Rescue Services,"93,524.80",2008
Board of Parks & Recreation,"212,413.94",2008
Community Services,"114,754.62",2008
Board of Parks & Recreation,"123,987.84",2008
Fire and Rescue Services,"97,854.56",2008
Fire and Rescue Services,"78,923.00",2008
Fire and Rescue Services,"79,563.23",2008
Fire and Rescue Services,"78,583.08",2008
Human Resource Services,"147,263.29",2008
Fire and Rescue Services,"75,422.61",2008
Engineering Services,"109,862.18",2008
Community Services,"87,711.28",2008
Fire and Rescue Services,"75,192.14",2008
Engineering Services,"91,103.63",2008
Fire and Rescue Services,"83,805.09",2008
Fire and Rescue Services,"107,740.94",2008
Community Services,"101,703.81",2008
Community Services,"89,813.79",2008
Engineering Services,"75,032.75",2008
Community Services,"77,251.54",2008
Fire and Rescue Services,"77,284.69",2008
Community Services,"82,120.58",2008
Community Services,"76,740.13",2008
Business Planning & Services,"80,303.00",2008
Financial Services,"97,837.79",2008
Fire and Rescue Services,"76,569.38",2008
Fire and Rescue Services,"76,411.98",2008
Fire and Rescue Services,"76,542.46",2008
Fire and Rescue Services,"77,280.44",2008
Fire and Rescue Services,"79,773.74",2008
Fire and Rescue Services,"77,371.33",2008
Fire and Rescue Services,"78,685.34",2008
Human Resource Services,"83,851.99",2008
Fire and Rescue Services,"97,743.75",2008
Engineering Services,"88,642.59",2008
Engineering Services,"83,851.99",2008
Fire and Rescue Services,"89,952.98",2008
Fire and Rescue Services,"95,243.65",2008
Board of Parks & Recreation,"106,157.59",2008
Human Resource Services,"83,852.00",2008
Board of Parks & Recreation,"85,225.33",2008
Engineering Services,"93,888.91",2008
Community Services,"97,752.79",2008
Engineering Services,"96,640.90",2008
Fire and Rescue Services,"84,779.18",2008
Fire and Rescue Services,"77,668.21",2008
Business Planning & Services,"85,637.80",2008
Fire and Rescue Services,"105,129.33",2008
Law Department,"142,527.96",2008
Fire and Rescue Services,"76,054.78",2008
Human Resource Services,"86,124.46",2008
Community Services,"75,914.50",2008
Fire and Rescue Services,"75,494.28",2008
Vancouver Public Library Board,"84,318.83",2008
Fire and Rescue Services,"92,251.52",2008
Community Services,"75,914.50",2008
Board of Parks & Recreation,"85,677.10",2008
Community Services,"106,809.57",2008
Fire and Rescue Services,"115,535.18",2008
Engineering Services,"77,897.47",2008
Board of Parks & Recreation,"91,004.94",2008
Community Services,"77,677.10",2008
Engineering Services,"96,624.54",2008
Fire and Rescue Services,"84,342.32",2008
Law Department,"143,036.99",2008
Fire and Rescue Services,"87,661.67",2008
Financial Services,"77,274.30",2008
Fire and Rescue Services,"88,849.21",2008
Engineering Services,"75,213.84",2008
Community Services,"92,008.49",2008
Fire and Rescue Services,"78,744.90",2008
Community Services,"114,389.01",2008
Engineering Services,"86,146.06",2008
Fire and Rescue Services,"75,024.99",2008
Fire and Rescue Services,"80,562.34",2008
City Clerk's Office,"105,400.41",2008
Community Services,"75,914.49",2008
Fire and Rescue Services,"93,363.01",2008
Community Services,"84,412.99",2008
Fire and Rescue Services,"88,818.04",2008
Financial Services,"99,698.48",2008
Fire and Rescue Services,"97,127.69",2008
Fire and Rescue Services,"77,667.91",2008
Fire and Rescue Services,"90,296.43",2008
Fire and Rescue Services,"75,244.81",2008
Fire and Rescue Services,"95,267.48",2008
Fire and Rescue Services,"75,232.76",2008
Fire and Rescue Services,"75,603.02",2008
Fire and Rescue Services,"76,407.46",2008
Business Planning & Services,"105,982.08",2008
Fire and Rescue Services,"76,581.10",2008
Fire and Rescue Services,"76,028.23",2008
Business Planning & Services,"104,360.29",2008
Fire and Rescue Services,"88,728.55",2008
Engineering Services,"77,756.11",2008
Community Services,"91,421.61",2008
Community Services,"76,022.50",2008
Fire and Rescue Services,"77,424.48",2008
Fire and Rescue Services,"94,338.99",2008
Human Resource Services,"83,851.99",2008
Engineering Services,"94,522.66",2008
Fire and Rescue Services,"85,987.67",2008
Engineering Services,"102,967.37",2008
Fire and Rescue Services,"75,754.50",2008
Business Planning & Services,"86,651.88",2008
Community Services,"105,592.03",2008
Community Services,"99,491.30",2008
Community Services,"87,266.75",2008
Engineering Services,"90,596.75",2008
Engineering Services,"83,460.51",2008
Engineering Services,"79,620.28",2008
Fire and Rescue Services,"79,218.07",2008
Engineering Services,"133,270.92",2008
Community Services,"108,954.96",2008
Fire and Rescue Services,"88,883.40",2008
Fire and Rescue Services,"88,139.93",2008
Fire and Rescue Services,"76,833.18",2008
Vancouver Public Library Board,"88,960.03",2008
Law Department,"139,904.87",2008
Fire and Rescue Services,"75,821.26",2008
Vancouver Public Library Board,"83,382.65",2008
Board of Parks & Recreation,"82,441.79",2008
Financial Services,"88,573.79",2008
Fire and Rescue Services,"89,935.59",2008
Human Resource Services,"142,566.45",2008
Engineering Services,"82,076.47",2008
Fire and Rescue Services,"75,438.80",2008
Engineering Services,"93,654.65",2008
Community Services,"93,624.33",2008
Fire and Rescue Services,"85,441.82",2008
Fire and Rescue Services,"83,541.75",2008
Fire and Rescue Services,"77,874.75",2008
Fire and Rescue Services,"89,136.72",2008
Office of the City Manager,"231,315.10",2008
Board of Parks & Recreation,"98,229.41",2008
Fire and Rescue Services,"76,907.95",2008
City Clerk's Office,"83,851.99",2008
Community Services,"98,076.26",2008
Financial Services,"87,703.28",2008
Fire and Rescue Services,"89,055.61",2008
Community Services,"76,022.50",2008
Engineering Services,"91,111.13",2008
Community Services,"123,801.18",2008
Community Services,"91,879.17",2008
Fire and Rescue Services,"75,707.12",2008
Engineering Services,"104,559.64",2008
Fire and Rescue Services,"75,738.90",2008
Community Services,"89,227.72",2008
Fire and Rescue Services,"89,689.92",2008
Fire and Rescue Services,"98,782.43",2008
Board of Parks & Recreation,"126,000.10",2008
Office of the City Manager,"568,447.81",2008
Fire and Rescue Services,"77,281.17",2008
Fire and Rescue Services,"78,986.93",2008
Fire and Rescue Services,"88,436.78",2008
Human Resource Services,"99,017.71",2008
Fire and Rescue Services,"83,866.07",2008
Board of Parks & Recreation,"86,982.79",2008
Fire and Rescue Services,"85,105.47",2008
Fire and Rescue Services,"78,561.22",2008
Fire and Rescue Services,"83,902.64",2008
Community Services,"85,840.33",2008
Office of the City Manager,"233,455.50",2008
Financial Services,"96,568.97",2008
Financial Services,"99,084.77",2008
Engineering Services,"75,573.48",2008
Fire and Rescue Services,"82,423.49",2008
Board of Parks & Recreation,"143,639.91",2008
Human Resource Services,"93,243.96",2008
Community Services,"87,466.30",2008
Fire and Rescue Services,"77,894.02",2008
Engineering Services,"78,207.36",2008
Fire and Rescue Services,"77,128.18",2008
Fire and Rescue Services,"76,762.69",2008
Engineering Services,"90,934.15",2008
Engineering Services,"86,431.08",2008
Fire and Rescue Services,"101,201.09",2008
Fire and Rescue Services,"91,526.81",2008
Engineering Services,"85,333.56",2008
Fire and Rescue Services,"89,202.47",2008
Law Department,"156,673.92",2008
Business Planning & Services,"82,856.74",2008
Fire and Rescue Services,"75,065.90",2008
Fire and Rescue Services,"79,807.33",2008
Fire and Rescue Services,"98,379.78",2008
Business Planning & Services,"128,096.90",2008
Business Planning & Services,"85,225.33",2008
Fire and Rescue Services,"106,187.99",2008
Engineering Services,"88,426.52",2008
Community Services,"105,326.40",2008
Engineering Services,"84,907.56",2008
Fire and Rescue Services,"77,966.64",2008
Board of Parks & Recreation,"75,122.67",2008
Fire and Rescue Services,"92,222.10",2008
Engineering Services,"75,719.62",2008
Fire and Rescue Services,"76,048.92",2008
Business Planning & Services,"95,005.64",2008
Fire and Rescue Services,"80,784.78",2008
Community Services,"90,208.62",2008
Fire and Rescue Services,"92,424.50",2008
Fire and Rescue Services,"81,521.71",2008
Engineering Services,"88,171.45",2008
Engineering Services,"86,754.53",2008
Fire and Rescue Services,"83,446.53",2008
Community Services,"75,316.07",2008
Fire and Rescue Services,"78,376.56",2008
Engineering Services,"87,018.80",2008
Community Services,"87,014.87",2008
Human Resource Services,"75,010.44",2008
Community Services,"86,535.33",2008
City Clerk's Office,"83,852.03",2008
Fire and Rescue Services,"77,818.98",2008
Fire and Rescue Services,"82,898.63",2008
Fire and Rescue Services,"76,262.16",2008
Fire and Rescue Services,"93,447.09",2008
Community Services,"76,942.32",2008
Fire and Rescue Services,"80,064.96",2008
Vancouver Public Library Board,"103,135.36",2008
Human Resource Services,"97,837.80",2008
Business Planning & Services,"94,791.10",2008
Fire and Rescue Services,"77,005.74",2008
Community Services,"76,887.46",2008
Fire and Rescue Services,"92,781.93",2008
Engineering Services,"119,004.47",2008
Vancouver Public Library Board,"121,556.71",2008
Business Planning & Services,"118,352.90",2008
Fire and Rescue Services,"92,912.71",2008
Fire and Rescue Services,"207,021.27",2008
Business Planning & Services,"83,851.99",2008
Fire and Rescue Services,"79,497.95",2008
Fire and Rescue Services,"95,287.97",2008
Fire and Rescue Services,"76,007.74",2008
Engineering Services,"91,522.38",2008
Law Department,"86,873.90",2008
Fire and Rescue Services,"80,323.71",2008
Community Services,"75,844.72",2008
Community Services,"108,935.23",2008
Community Services,"75,341.62",2008
City Clerk's Office,"75,211.49",2008
Fire and Rescue Services,"75,249.95",2008
Board of Parks & Recreation,"99,568.86",2008
Community Services,"97,105.93",2008
Fire and Rescue Services,"90,855.72",2008
